name,price,category
Хлеб бородинский,59,Хлебобулочные
Батон нарезной,78,Хлебобулочные
Булочка с маком,45,Хлебобулочные
Круассан с маслом,89,Хлебобулочные
Пирожок с картошкой,55,Хлебобулочные
Пирожок с капустой,55,Хлебобулочные
Пирожок с мясом,65,Хлебобулочные
Слойка с творогом,70,Хлебобулочные
Рогалик с повидлом,50,Хлебобулочные
Булочка с изюмом,48,Хлебобулочные
Добрый кола,90,Напитки
Добрый кола Без сахара,95,Напитки
Добрый кола Лимон,100,Напитки
Добрый кола Вишня,100,Напитки
Пепси кола,85,Напитки
Пепси кола Без сахара,90,Напитки
7Up,80,Напитки
Mirinda,80,Напитки
Fanta,80,Напитки
Лимонад Дюшес,75,Напитки
Лимонад Тархун,75,Напитки
Лимонад Байкал,75,Напитки
Лимонад Саяны,75,Напитки
Квас Очаковский,60,Напитки
Квас Домашний,65,Напитки
Вода минеральная Нарзан,75,Напитки
Вода минеральная Боржоми,148,Напитки
Вода минеральная Ессентуки 4,85,Напитки
Вода минеральная Ессентуки 17,90,Напитки
Вода питьевая Святой источник,45,Напитки
Вода питьевая Бон Аква,50,Напитки
Сок Яблочный,95,Напитки
Сок Апельсиновый,100,Напитки
Сок Вишнёвый,105,Напитки
Сок Гранатовый,120,Напитки
Сок Мультифрукт,110,Напитки
Сок Томатный,85,Напитки
Морс Клюквенный,90,Напитки
Морс Брусничный,90,Напитки
Чай Липтон Зелёный,130,Напитки
Чай Липтон Чёрный,130,Напитки
Чай Липтон Персик,135,Напитки
Чай Липтон Манго,140,Напитки
Энергетик Burn,110,Напитки
Энергетик Adrenaline Rush,120,Напитки
Чипсы Lays Классические,89,Снеки
Чипсы Lays Сметана/Лук,89,Снеки
Чипсы Lays Краб,89,Снеки
Чипсы Lays Зелёный лук,89,Снеки
Чипсы Lays Шашлык,89,Снеки
Чипсы Lays Рифленые,89,Снеки
Чипсы Lays Лосось,89,Снеки
Кириешки Классические,48,Снеки
Кириешки С чесноком,48,Снеки
Кириешки Со сметаной,48,Снеки
Кириешки С перцем,48,Снеки
Кириешки С сыром,48,Снеки
Сухарики Хрустящие,35,Снеки
Сухарики с солью,35,Снеки
Соломка солёная,40,Снеки
Орешки солёные,55,Снеки
Крендельки,42,Снеки
Печенье Юбилейное,65,Кондитерские изделия
Печенье Овсяное,70,Кондитерские изделия
Печенье Сахарное,60,Кондитерские изделия
Пряники Тульские,75,Кондитерские изделия
Пряники Медовые,80,Кондитерские изделия
Вафли с начинкой,55,Кондитерские изделия
Вафли Шоколадные,60,Кондитерские изделия
Рулет с повидлом,85,Кондитерские изделия
Рулет с орехами,95,Кондитерские изделия
Кекс столичный,90,Кондитерские изделия
Кекс с изюмом,100,Кондитерские изделия
Пирожное Эклер,70,Кондитерские изделия
Пирожное Картошка,60,Кондитерские изделия
Пирожное Корзинка,75,Кондитерские изделия
Торт Медовик,350,Кондитерские изделия
Торт Наполеон,380,Кондитерские изделия
Торт Прага,400,Кондитерские изделия
Зефир Белый,85,Кондитерские изделия
Зефир Розовый,85,Кондитерские изделия
Мармелад Фруктовый,90,Кондитерские изделия
Мармелад жевательный,95,Кондитерские изделия
Халва Подсолнечная,80,Кондитерские изделия
Халва Арахисовая,85,Кондитерские изделия
Козинак,70,Кондитерские изделия
Молоко 3.2%,80,Молочные продукты
Молоко 2.5%,75,Молочные продукты
Молоко 1.5%,70,Молочные продукты
Кефир 3.2%,85,Молочные продукты
Кефир 2.5%,80,Молочные продукты
Кефир 1%,75,Молочные продукты
Ряженка 4%,90,Молочные продукты
Сметана 20%,95,Молочные продукты
Сметана 15%,90,Молочные продукты
Творог 9%,100,Молочные продукты
Творог 5%,95,Молочные продукты
Творожок с изюмом,65,Молочные продукты
Творожок с шоколадом,70,Молочные продукты
Творожок с джемом,65,Молочные продукты
Йогурт натуральный,55,Молочные продукты
Йогурт с фруктами,60,Молочные продукты
Йогурт питьевой,50,Молочные продукты
Масло сливочное 82%,150,Молочные продукты
Масло сливочное 72%,130,Молочные продукты
Сыр Гауда,180,Молочные продукты
Сыр Российский,170,Молочные продукты
Сыр Моцарелла,220,Молочные продукты
Сыр Пармезан,250,Молочные продукты
Сыр Плавленый,120,Молочные продукты
Колбаса Докторская,250,Мясные изделия
Колбаса Молочная,230,Мясные изделия
Колбаса Сервелат,280,Мясные изделия
Колбаса Копчёная,350,Мясные изделия
Колбаса Салями,320,Мясные изделия
Сосиски Молочные,180,Мясные изделия
Сосиски Сливочные,190,Мясные изделия
Сардельки,185,Мясные изделия
Ветчина,220,Мясные изделия
Окорок,250,Мясные изделия
Карбонад,280,Мясные изделия
Буженина,300,Мясные изделия
Рулет мясной,260,Мясные изделия
Шейка свиная,320,Мясные изделия
Грудинка,290,Мясные изделия
Балык,350,Мясные изделия
Паштет печеночный,95,Мясные изделия
Паштет мясной,100,Мясные изделия
Паштет куриный,90,Мясные изделия
Гречка,55,Бакалея
Рис,60,Бакалея
Пшено,45,Бакалея
Овсянка,50,Бакалея
Перловка,40,Бакалея
Манка,35,Бакалея
Горох,45,Бакалея
Чечевица,65,Бакалея
Фасоль,70,Бакалея
Макароны,45,Бакалея
Спагетти,50,Бакалея
